2019 Median Household Income,2019 Unemployed Population 16+: Percent,2014-2018 ACS HHs: Inc Below Poverty Level: Percent,2019 Total Daytime Population,2014-2018 ACS Average Number of Vehicles,2019 Total Households,Housing_Density,Daytime_Pop_Density,Shape_Area_sqmi,Developed_Open_Space_Sq_Meters,Developed_Low_Intensity_Sq_Meters,Developed_Medium_Intensity_Sq_Meters,Developed_High_Intensity_Sq_Meters,Square_Meters_Residential,Square_Meters_Com_Ind_MU,Square_Meters_Other,Undeveloped_Sq_Meters,Building_Count_Com_Ind_MU,Building_Count_Other,Building_Count_Residential,Median Contract Rent,Median Gross Rent
19839,14.08,40.35,3662,1,1304,1680.039186,4718.024155,0.776172372,14100,27900,13950,7770,113590.3076,134784.6893,3603.045856,3270,155,10,772,414,466
22631,15.68,40.35,3839,1,1047,1348.927168,4946.066284,0.776172372,4080,32340,18960,11610,134890.9332,173318.1098,13597.8666,60,196,14,983,503,692
18917,13.48,40.34,4141,1,1039,1338.620188,5335.155146,0.776172367,4020,25680,21990,15000,90693.38987,151594.9111,12595.80675,270,219,19,586,458,516
18908,14.45,40.3,4137,1,1026,1321.871335,5330.001669,0.776172365,3210,24960,22350,16140,85715.03596,173121.0072,12016.45022,270,228,15,568,460,509
15468,19.6,40.22,561,1,261,336.265515,722.7776011,0.776172365,14670,9960,3030,4290,42488.30555,17694.22701,1810.060112,23250,14,8,316,448,625
18740,15.37,40.21,4864,1,1068,1375.983005,6266.64919,0.776172377,2670,25890,22470,15870,90327.36998,180176.7257,6013.023329,270,229,12,633,451,487
19106,13.55,40.19,4143,1,1055,1359.234153,5337.731843,0.776172375,3810,25890,21900,15090,90597.53072,157917.435,12067.15001,270,221,16,593,459,518
18725,15.43,40.18,4863,1,1126,1450.708696,6265.360915,0.776172365,2760,27630,21750,14700,101713.0191,174356.8369,5831.807232,270,217,11,711,451,487
18890,14.91,40.12,4741,1,1114,1435.248217,6108.179352,0.776172363,2730,24900,22710,16260,87130.81336,174817.6427,10204.19841,270,229,13,589,457,498
18811,15.32,40.09,4851,1,1094,1409.480743,6249.900444,0.776172364,2580,26460,22260,15360,94688.24622,182666.0502,5831.807232,270,224,11,664,452,488
19607,13.43,40.09,1928,0,877,1129.903655,2483.984318,0.776172372,20280,25350,5670,1620,120591.8663,39794.82904,2460.56038,14160,79,13,709,465,632
20548,15.53,40.07,4615,1,1346,1734.150866,5945.844164,0.776172377,3960,33390,18900,10770,133888.3001,171358.823,7363.560534,60,198,15,986,472,598
19566,13.52,40.06,2124,1,979,1261.317773,2736.505567,0.776172366,19560,26310,6060,1470,127473.782,35581.60786,2333.389027,13650,79,12,739,466,630
19080,13.89,40.05,4273,1,1064,1370.829535,5505.220493,0.776172363,3390,25290,22200,15660,87534.99674,172599.6124,12016.45022,270,229,15,576,460,513
20877,15.56,40,4120,1,1276,1643.964745,5308.099335,0.776172362,3840,33480,18690,10830,135170.8339,169767.8761,7363.560534,60,195,15,995,478,624
18980,14.76,39.96,4678,1,1073,1382.424893,6027.011787,0.776172366,2940,24780,22650,16290,86873.23089,177933.5061,10204.19841,270,232,13,583,459,503
19779,15.58,39.94,4586,1,1331,1714.825269,5908.481354,0.776172374,3840,32340,19350,11250,124572.4008,162576.2141,6357.419566,60,209,11,921,462,520
20315,14.01,39.86,3672,1,1204,1551.201839,4730.907934,0.776172365,13890,28350,13470,7860,118207.5128,132671.2007,5281.213668,3300,149,11,810,430,479
