Percent unemployed,Vehicles per household,Median Income,Household Density,Day population density,Percent below poverty level,Residential Area,Commerical/Industrial/MU Area,Other Area,Undeveloped Area,Developed Open Space Area,Developed Low Intensity Area,Developed Medium Intensity Area,Developed High Intensity Area,Building Count Commercial/Industrial/MU,Building Count Other,Building Count Residential,Median Contract Rent,Median Gross Rent,Net Passengers
21.04,1,17741,480.5633555,1334.7,41.48,36589.66118,113134.1287,694.948737,500430,265380,551100,373260,320700,95,5,209,434,585,0
0.88,1,13996,341.4190081,2791.8,41.43,21812.83643,163335.2407,4142.490969,89880,119040,548040,625710,628020,112,17,104,297,351,1
9.19,0,15352,1768.93699,14442.2,41.34,58810.54494,289210.3043,22917.32354,7260,24090,349500,633120,996240,158,16,163,371,408,0
9.19,0,15352,1768.936965,14479.5,41.34,58303.32833,284921.4751,22917.32354,7080,24000,351630,632820,994260,155,16,162,371,408,0
11.94,1,19008,1368.252776,5079.9,41.19,86870.43981,143926.7046,4813.163496,7530,246450,738570,641100,376770,200,15,496,458,526,0
20.51,1,16507,584.921626,2423.3,41.16,43144.1541,88536.69964,587.2873565,599400,366300,469110,280470,294780,43,4,194,441,604,0
20.63,1,16658,570.7495102,2517.4,41.16,37959.26302,129070.2804,694.948737,553950,294120,487950,311520,362820,90,5,191,440,596,0
15.7,1,27249,845.1731005,2808.6,41.11,100964.2709,152259.9731,1008.133073,19620,200460,823230,578010,389070,169,6,706,537,784,0
11.73,1,19126,1386.290023,5172.6,41.06,87664.20529,135053.4433,5524.272484,6360,213330,758430,649140,383070,194,18,516,458,529,0
15.01,1,26458,1044.87101,3597,41.05,122109.797,130914.6466,8810.969711,780,157530,934380,593010,324570,179,12,855,534,774,0
10.42,1,18038,806.5218833,2981.2,40.98,52914.71671,81521.12614,28291.16858,159510,564150,649650,452100,184740,90,58,328,454,656,0
20.2,1,16121,623.5728323,2679.7,40.97,44197.84548,88806.84805,323.5752099,624630,383460,465240,256470,280590,39,2,211,444,607,0
13.77,1,26588,1218.801429,3944.9,40.92,143436.5008,149940.4547,11129.05333,0,138960,1017780,560040,293520,169,14,987,539,777,0
15.04,1,25762,1229.10842,3807,40.85,146566.3703,137342.7149,10511.55593,0,139860,1034430,556320,279600,170,10,1035,529,760,0
15.22,1,27096,934.0708724,3157.7,40.83,107303.04,142055.6695,1602.040692,15150,168570,866910,606330,352920,178,9,755,537,783,0
15.26,1,26481,1042.294254,3443.7,40.77,125511.1837,130301.0568,8641.633573,0,158850,946380,582960,321960,176,11,877,533,771,0
19.88,1,15454,534.675049,1486.7,40.75,39621.07408,51374.80599,146.7478717,732750,381180,437100,238800,220830,28,1,182,449,623,0
19.88,1,15345,533.3866727,1390.1,40.75,38903.52825,46948.86641,146.7478717,745650,380490,422340,215070,151050,25,1,175,448,623,0
19.88,1,15454,534.675049,1490.6,40.75,38776.43542,47319.24852,146.7478717,748920,384900,434760,239340,186390,26,1,174,449,623,0
15.91,1,22525,1381.136532,5023.2,40.72,134530.2205,170178.2657,14140.64005,1650,123270,958290,570960,356250,195,16,977,505,700,0
20.17,1,15609,566.884385,1542.1,40.69,43232.61504,57567.66679,362.7378287,659280,404520,453150,245010,247920,32,3,212,447,615,0
20.17,1,15609,566.8843945,1542.1,40.69,43313.95987,57950.40673,362.7378287,644580,390060,456600,254430,264120,34,3,208,447,615,0
20.17,1,15609,566.8843908,1542.1,40.69,39991.7738,51353.84118,146.7478717,721590,382260,435750,238710,232050,29,1,186,447,615,0
14.97,1,25414,1356.657403,4225.7,40.65,152773.675,146521.8623,10672.50365,0,135180,1057140,537180,280890,168,11,1075,525,750,0
15.04,1,25433,1350.215565,4203.8,40.62,150157.7077,152573.4243,10672.50365,0,142680,1035540,539970,291960,171,11,1057,525,750,0
15.71,1,20034,1783.109102,6127.3,40.61,132829.5728,168308.2432,7009.652776,1650,117690,1001040,569190,320520,195,13,973,470,558,0
14.61,1,25985,1283.220116,3881.7,40.61,147905.4382,142422.2126,10940.12555,0,136860,1031550,556680,284910,166,13,1037,532,764,0
15.61,1,21208,1686.481043,5498.6,40.6,136516.4089,175599.9768,7363.560534,1650,121530,1004970,551460,330510,192,15,998,485,651,0
14.39,1,26015,1318.006217,4047.9,40.6,156453.1482,117395.2042,11129.05333,0,137670,1084110,537990,250590,153,14,1091,532,762,0
13.63,1,26878,1193.033959,3975.8,40.59,140321.1674,138652.8186,11129.05333,0,136440,1006320,566850,300780,170,14,966,541,781,0
13.53,1,19596,1333.466677,2768.6,40.53,137426.5177,31820.98065,2649.867568,427830,514230,821670,220890,25770,74,15,781,467,632,0
