OBJECTID,2019 Unemployed Population 16+: Percent,2014-2018 ACS Average Number of Vehicles,2014-2018 ACS HHs: Inc Below Poverty Level: Percent,2019 Median Household Income,2019 Average Household Income,Household_Density,Total_Pop_Density,Day_Pop_Density,Undeveloped_Sq_Meters,Developed_Open_Space_Sq_Meters,Developed_Low_Intensity_Sq_Meters,Developed_Medium_Intensity_Sq_Meters,Developed_High_Intensity_Sq_Meters,Square_Meters_Residential,Square_Meters_Com_Ind_MU,Square_Meters_Other,SUM_PASSENGERS_ON,SUM_PASSENGERS_OFF,Shape_Length,Shape_Area
1135,0,1.6,26.47,67053,120854,1758.335637,2275.493178,982.5993267,11970,23760,14400,,,1251.630362,,,,,0.012191832,4.95E-06
1136,0,0,0,0,0,0,0,1967.232578,,,750,5220,7110,,2467.438026,,12,3,0.00461388,1.3E-06
1137,12.5,1.2,33.33,21429,32777,2287.351774,3343.052593,2111.401638,,90,13920,780,,1779.332284,,,,,0.004902646,1.45E-06
1138,12.5,1,50,15000,20950,1999.526924,3453.728323,2181.302099,,,12720,1440,,1432.134903,,,4,5,0.004715556,1.41E-06
1139,20,1,50,15000,20950,789.3466302,1894.431913,7735.596976,,60,4380,8670,3390,232.4395918,2827.954214,,19,5,0.005420823,1.62E-06
1140,0,1.3,0,200001,94117,396.997241,793.994482,926.3268956,,5370,7560,5670,900,454.1308935,1289.740574,,,,0.00599149,1.93E-06
1141,16.67,1.2,40,29084,34785,830.2824065,2158.734257,2989.016663,,,2760,6930,5970,764.4367736,2580.127966,,38,20,0.005177925,1.54E-06
1142,0,0,0,0,0,0,0,0,,,60,5700,11670,,7444.989769,,,,0.005378387,1.73E-06
1143,0,0,0,0,0,0,0,3755.016431,,,8580,22260,20490,,16697.78846,,,,0.009144086,5.04E-06
1144,0,0,0,0,0,0,0,1282.23093,,,4200,7890,6030,,5052.530563,,,,0.005758139,1.8E-06
1145,11.76,1.3,37.5,20587,32465,4226.542798,8241.758457,5071.851358,,,5550,6660,,2820.649222,,,15,9,0.004528606,1.21E-06
