Percent Unemployed,Vehicles per Household,Percent below poverty level,Median income,Household Density,Daytime Population Density,Undeveloped area,Developed open area,Developed low intensity,Developed medium intensity,Developed high intensity,Residential area,Commercial/Industrial area,Other area,Net Passengers
5.88,1.7,13.33,38072,905.9444271,1028.36935,21870,70230,13590,60,0,5127.509297,0,0,464
5.88,1.7,14.29,38733,664.8851594,2015.433139,0,43350,37350,35040,9090,5282.787001,9537.195424,0,455
10,1.6,27.27,31741,1547.714082,2391.921764,0,4650,13800,0,0,1859.749783,210.2933009,0,464
6.67,1.6,26.67,36757,2251.6531,2752.020455,0,9360,11430,0,0,2325.37067,0,0,467
10,1.6,33.33,31741,782.891545,1217.831292,0,29910,0,0,0,2038.596208,0,0,464
5.17,1.6,27.19,36106,1614.449487,1454.458997,25440,88080,43020,19860,1590,9467.852191,2473.403309,0,466
0,1.8,16.67,35000,1787.437303,1588.833158,0,2880,5280,4290,630,1376.338687,739.4443127,0,466
12.5,1.7,14.29,40901,1225.756361,1455.585679,0,15990,13470,3690,660,1355.56759,1222.204272,0,462
9.09,1.8,12.5,40901,1763.786236,1899.4621,0,15270,3840,0,0,1741.623544,0,159.9278312,464
0,1.4,15.38,41420,3130.557471,1878.334482,0,3090,9480,0,0,2087.859703,0,0,464
0,2,0,0,164.3193329,328.6386658,12630,2610,390,0,0,344.0881575,0,0,464
0,2,0,62500,424.5736694,424.5736694,0,5550,6690,0,0,914.8735561,0,0,464
7.69,1.6,6.25,41005,1399.129984,1818.86898,0,9510,27600,0,0,4492.782292,282.7568584,0,464
5.71,1.6,8.57,44104,1378.397985,1807.232914,0,19620,60630,4260,0,10148.83337,3219.953143,0,463
1.03,1.5,32.06,37663,449.4623412,690.7526507,757590,218130,114930,4470,0,6842.335533,9744.858531,901.5544499,467
4.35,2.1,22.22,29188,2850.991025,3758.124533,0,10200,9840,0,0,2283.635543,0,0,464
8.16,1.9,8.33,54750,272.4292838,538.2139509,192930,127890,64260,4890,0,12250.49601,226.5437697,1270.844018,464
0,1.2,0,0,456.1600704,912.3201408,10800,5160,1080,0,0,889.9402339,0,0,464
0,0,0,0,0,0,0,420,120,0,0,0,0,0,464
0,0,0,78261,1772.644097,1920.364439,6150,9630,19350,0,0,3955.95935,0,0,464
0,0,0,79245,1042.579756,1080.491747,42120,43290,29850,19650,0,13631.60027,236.9713722,0,464
3.85,1.4,16.67,53961,583.5519319,1025.158799,105240,124050,84060,15210,0,15611.97669,4612.591209,0,464
0,1.9,0,78104,239.4173677,630.0457045,10320,38280,90060,50610,15900,3883.469839,8334.840097,0,464
2.7,0,10,66082,805.9792067,1250.65739,14910,49560,28800,0,0,6403.102049,0,0,464
0,0,0,0,0,0,0,300,0,0,0,0,0,0,464
0,0,0,0,0,0,0,0,270,0,0,0,0,0,464
1.61,0,0,131475,511.5926908,650.9200619,381240,447450,271800,86730,570,87252.02102,1044.98415,754.4292693,464
0,1.2,40,15000,1380.312645,1380.312645,0,0,60,6450,990,1065.59705,0,0,464
0,0,0,0,0,6396.522534,900,0,30,1530,15960,0,3731.148371,0,460
0,0,0,0,0,0,0,0,3570,3270,480,0,0,0,464
0,1.4,45.45,15578,359.7607058,1023.934316,7950,56520,73440,38040,11250,3178.188143,14796.34195,0,475
