Percent unemployed,Vehicles per household,Median income,Houshold Density,Daytime population density,Percent below poverty level,Residential area,Commercial/Industrial area,Other area,Undeveloped area,Developed open area,Developed low intensity,Developed medium intensity,Developed high intensity,Building Count Commercial/Industrial/MU,Building Count Other,Building Count Residential,Median Contract Rent,Median Gross Rent,Ridership
7.9,0,16757,1627,29632,42.35,76568.13,409196.7797,69389.62103,7200,22500,239400,632700,1103400,194,14,978,503,692,0
7.9,0,16757,1627,29632,42.35,76568.13,409196.7797,69389.62103,7200,22500,239400,632700,1103400,217,18,584,458,516,0
7.9,0,16757,1627,29632,42.35,76568.13,409196.7797,69389.62103,7200,22500,239400,632700,1103400,153,14,1100,532,762,0
7.9,0,16757,1627,29632,42.35,76568.13,409196.7797,69389.62103,7200,22500,239400,632700,1103400,225,14,566,460,509,0
7.9,0,16757,1627,29632,42.35,76568.13,409196.7797,69389.62103,7200,22500,239400,632700,1103400,14,8,316,448,625,0
7.9,0,16757,1627,29632,42.35,76568.13,409196.7797,69389.62103,7200,22500,239400,632700,1103400,227,12,631,451,487,0
7.9,0,16757,1627,29632,42.35,76568.13,409196.7797,69389.62103,7200,22500,239400,632700,1103400,218,15,591,459,518,0
7.9,0,16757,1627,29632,42.35,76568.13,409196.7797,69389.62103,7200,22500,239400,632700,1103400,215,11,709,451,487,0
7.9,0,16757,1627,29632,42.35,76568.13,409196.7797,69389.62103,7200,22500,239400,632700,1103400,179,13,620,549,796,0
7.9,0,16757,1627,29632,42.35,76568.13,409196.7797,69389.62103,7200,22500,239400,632700,1103400,226,12,587,457,498,0
7.9,0,16757,1627,29632,42.35,76568.13,409196.7797,69389.62103,7200,22500,239400,632700,1103400,211,12,817,452,488,0
7.9,0,16757,1627,29632,42.35,76568.13,409196.7797,69389.62103,7200,22500,239400,632700,1103400,222,11,662,452,488,0
19.7,1,17890,847,1636,42.34,67627.32638,136478.484,20960.27356,288900,288000,805500,423900,209700,77,13,706,465,632,0
8.1,0,16262,1822,21958,42.33,64502.16801,467424.0338,44703.42273,7200,20700,231300,562500,1187100,196,15,981,472,598,0
8.1,0,16262,1822,21958,42.33,64502.16801,467424.0338,44703.42273,7200,20700,231300,562500,1187100,77,12,735,466,630,0
8.1,0,16262,1822,21958,42.33,64502.16801,467424.0338,44703.42273,7200,20700,231300,562500,1187100,226,14,574,460,513,0
8.1,0,16262,1822,21958,42.33,64502.16801,467424.0338,44703.42273,7200,20700,231300,562500,1187100,206,12,925,464,526,1
8.1,0,16262,1822,21958,42.33,64502.16801,467424.0338,44703.42273,7200,20700,231300,562500,1187100,194,15,990,478,624,0
8.1,0,16262,1822,21958,42.33,64502.16801,467424.0338,44703.42273,7200,20700,231300,562500,1187100,229,12,581,459,503,0
8.1,0,16262,1822,21958,42.33,64502.16801,467424.0338,44703.42273,7200,20700,231300,562500,1187100,207,11,916,462,520,0
8.1,0,16262,1822,21958,42.33,64502.16801,467424.0338,44703.42273,7200,20700,231300,562500,1187100,148,11,805,430,479,0
8.1,0,16262,1822,21958,42.33,64502.16801,467424.0338,44703.42273,7200,20700,231300,562500,1187100,160,13,423,466,541,0
8.1,0,16262,1822,21958,42.33,64502.16801,467424.0338,44703.42273,7200,20700,231300,562500,1187100,197,18,592,460,541,0
8.1,0,16262,1822,21958,42.33,64502.16801,467424.0338,44703.42273,7200,20700,231300,562500,1187100,168,15,424,467,550,0
7.8,0,16943,1659,29614,42.18,75423.32284,399884.316,69389.62103,7200,22500,235800,640800,1107900,172,13,1002,515,724,0
7.8,0,16943,1659,29614,42.18,75423.32284,399884.316,69389.62103,7200,22500,235800,640800,1107900,196,17,610,460,542,0
7.8,0,16943,1659,29614,42.18,75423.32284,399884.316,69389.62103,7200,22500,235800,640800,1107900,182,18,88,431,469,0
7.8,0,16943,1659,29614,42.18,75423.32284,399884.316,69389.62103,7200,22500,235800,640800,1107900,17,3,341,454,628,0
7.8,0,16943,1659,29614,42.18,75423.32284,399884.316,69389.62103,7200,22500,235800,640800,1107900,152,13,428,466,542,0
7.8,0,16943,1659,29614,42.18,75423.32284,399884.316,69389.62103,7200,22500,235800,640800,1107900,91,14,1146,545,779,0
7.8,0,16943,1659,29614,42.18,75423.32284,399884.316,69389.62103,7200,22500,235800,640800,1107900,78,15,791,471,638,0
7.8,0,16943,1659,29614,42.18,75423.32284,399884.316,69389.62103,7200,22500,235800,640800,1107900,84,14,827,473,648,0
7.8,0,16943,1659,29614,42.18,75423.32284,399884.316,69389.62103,7200,22500,235800,640800,1107900,83,14,814,473,648,0
7.8,0,16943,1659,29614,42.18,75423.32284,399884.316,69389.62103,7200,22500,235800,640800,1107900,164,9,693,413,464,1
7.8,0,16943,1659,29614,42.18,75423.32284,399884.316,69389.62103,7200,22500,235800,640800,1107900,24,2,172,452,630,0
7.8,0,16943,1659,29614,42.18,75423.32284,399884.316,69389.62103,7200,22500,235800,640800,1107900,175,11,611,549,797,0
7.8,0,16943,1659,29614,42.18,75423.32284,399884.316,69389.62103,7200,22500,235800,640800,1107900,20,2,262,456,631,0
15,1.3,27362,738,2241,41.98,95653.82732,203343.601,61757.18657,19800,150300,802800,629100,411300,199,17,603,462,545,0
7.5,0,17507,1630,30034,41.86,69878.18679,452916.4896,58934.26522,7200,19800,231300,632700,1113300,79,12,704,466,639,0
21.1,1,18047,440,1040,41.81,45275.71746,135753.9942,694.948737,447300,259200,588600,395100,322200,19,2,240,455,630,0
21.1,1,17822,775,1541,41.77,56615.76827,131572.1665,9333.455233,338400,293400,689400,388800,296100,140,11,831,440,490,0
7.9,0,16987,1632,31500,41.71,71470.6573,406112.1875,77583.59767,8100,45000,290700,633600,1028700,80,48,363,456,655,0
7.9,0,16987,1632,31500,41.71,71470.6573,406112.1875,77583.59767,8100,45000,290700,633600,1028700,71,18,777,482,648,0
14.3,1.3,27451,732,2245,41.67,93950.37738,208471.9255,62301.86981,20700,152100,785700,643500,404100,93,15,885,480,654,0
15.7,1.1,18131,1462,4568,41.61,130064.771,178877.0513,6320.414664,2700,130500,972000,558900,348300,108,24,30,556,664,0
21,1,17562,621,1371,41.52,53720.53477,132760.5807,1199.24519,382500,297900,639000,378900,315900,92,13,1095,549,788,0
21,1,17741,451,1036,41.48,40397.71681,134640.5301,694.948737,502200,265500,551700,375300,319500,104,24,35,553,661,0
15.8,1.2,27242,787,2150,41.46,104238.2471,201833.3651,29706.25522,19800,198000,824400,580500,385200,117,13,156,602,718,0
0.9,0.7,13996,315,2167,41.43,22757.83313,204094.2574,7268.282729,87300,118800,549900,625500,629100,140,13,840,452,505,0
9.2,0,15352,1491,11239,41.34,60798.46081,404228.086,26868.82842,7200,24300,350100,628200,998100,177,16,181,406,435,0
9.2,0,15352,1491,11210,41.34,62755.33422,409497.8821,26868.82842,7200,25200,349200,633600,988200,99,16,1080,558,792,0
11.9,1.2,19008,1263,3943,41.19,91847.46216,152225.7586,7368.913665,7200,249300,741600,642600,374400,100,17,1060,566,795,0
20.5,1.1,16507,499,1881,41.16,43840.86265,135747.5144,22854.20112,599400,365400,468000,281700,293400,131,12,116,309,371,0
15,1.2,26458,984,2792,41.05,125943.2037,183657.7683,39187.25967,900,156600,932400,592200,324000,96,16,923,486,661,0
10.4,1.3,18038,706,2314,40.98,57310.16227,110056.5493,30523.97994,158400,567000,649800,450900,183600,148,25,59,590,682,0
20.2,1.1,16121,519,2080,40.97,44898.23205,102430.2458,22800.53938,625500,386100,466200,253800,280800,168,12,635,568,805,0
