Median Income,Household Density,Daytime Population Density,Percent Unemployed,Vehicles per Household,Percent below poverty level,Residential area,Commercial/Industrial area,Other area,Undeveloped area,Developed open area,Developed low intensity,Developed medium intensity,Developed high intensity,Net Passengers
35000,135.7797838,2059.6,6.7,1.4,28.57,6013.434054,38909.09964,3202.604175,0,414900,115200,84600,72900,22
26544,1941.172455,3966,14.7,1,30.18,78052.78654,32662.94495,2313.968806,0,104400,385200,257400,30600,16
55850,1060.008599,1608.5,10.1,1.7,17,104926.9936,7039.492742,272.7414213,72000,804600,434700,9000,0,0
53933,956.2326487,3494.6,4.5,0,16.07,159098.4207,66440.86817,1141.376641,59400,1001700,880200,235800,121500,31
35758,431.2359359,448.4,1.4,1.3,18.63,102744.3253,9557.327716,2295.579233,4750200,888300,331200,55800,3600,0
41005,448.8520868,770,8.8,1.6,18.34,85220.95233,24103.4349,578.3770962,1425600,858600,522900,119700,40500,0
45822,1281.054753,1586.1,0,1.7,9.94,88978.02194,14926.21198,410.2881161,36000,670500,339300,63900,10800,0
45101,1442.734494,1613.5,1.1,1.7,4.6,53188.13772,4081.263119,0,183600,288900,231300,77400,2700,0
54727,125.6139555,174.2,5.8,1.8,9.63,131364.5877,4352.260884,693.7286321,8673300,955800,542700,43200,1800,0
66021,2159.295388,1985.9,1.2,1.7,11.37,178753.8893,12125.16167,846.5114978,36000,879300,578700,117900,4500,5
49739,1018.60187,1218.2,6.2,1.9,21.57,160753.9085,18691.9588,428.216757,474300,1612800,473400,79200,9000,14
33115,939.4466309,1390.1,5.7,1.4,18.55,138657.7116,41929.70006,943.166995,463500,1396800,561600,178200,62100,0
34180,1143.215079,1695,0.7,1.6,12.62,127846.9791,39919.40607,2340.218902,439200,1345500,710100,187200,61200,0
42875,665.4606608,654.7,2.1,1.6,36.01,57556.92016,29749.99564,2620.110442,851400,606600,329400,111600,17100,0
126335,582.8753845,874,1.7,2.3,5.75,225839.8352,12264.08952,311.6504099,1487700,1884600,210600,33300,2700,0
83840,748.749844,1402.5,4.2,1.6,2.99,131936.455,36013.97212,462.5110381,1595700,1303200,273600,69300,3600,0
46973,75.57777684,263.8,6.2,1.7,23.17,36803.27606,109148.8959,2578.713703,6832800,780300,585000,372600,226800,0
118623,163.6847831,332.9,0.7,2.5,0,138086.653,18363.02511,4625.541838,4854600,1400400,557100,140400,36000,0
103533,253.822786,473.4,1.4,0,0,314922.4385,31576.78249,2725.641039,5382000,2014200,1062000,468900,53100,0
93002,125.0909303,116.6,1,0,2.88,68214.40965,2182.565372,5152.523475,4754700,828900,218700,15300,2700,0
76940,219.2929444,400.9,5.8,1.9,5.6,190472.8871,19133.08901,8281.157632,7874100,1755000,889200,186300,69300,0
79679,229.648259,244.3,1.4,0,0.84,158609.2548,829.2043403,3727.285724,4084200,1917000,444600,81000,1800,0
37447,519.2255392,600.3,0,1.4,17.43,122265.8286,4579.548454,2972.0473,1853100,1242000,668700,86400,24300,0
54702,278.3934216,652.7,9,0,7.54,110471.6801,47051.53513,4615.742665,4009500,862200,641700,203400,50400,0
32398,59.22347222,833.6,2.3,0,27.94,16282.64685,101378.7295,8307.34812,999900,734400,960300,765900,602100,39
44748,984.2719766,4979.9,1,1.4,15.03,64336.65832,62380.04913,5574.217036,305100,348300,374400,160200,104400,33
34219,1494.020493,1956.1,5.2,1.5,16.03,117990.038,20889.6988,876.5401501,196200,812700,482400,69300,42300,6
63126,1358.402635,2231,2.1,0,0,88958.22424,23999.74236,371.0522193,1800,225000,613800,136800,24300,18
37237,1991.494087,3076.1,5.4,1.4,18.68,60947.60072,22486.94833,0,0,166500,378900,130500,49500,5
41089,1188.284915,2283.9,4.7,1.5,19.02,36778.53122,20110.15688,0,19800,485100,151200,40500,31500,35
45861,1414.762573,1883.4,0.4,0,4.09,101945.4784,2352.273062,893.2886103,82800,691200,389700,14400,2700,20
41731,1169.108102,3416.5,1.6,1.5,15.34,53784.74545,57268.19642,2346.248488,128700,718200,486900,291600,107100,17
35676,750.6889195,3984.3,3,1.5,19.91,41388.71591,88896.09524,22158.14924,900,217800,476100,350100,212400,53
37868,1374.376096,4432.1,1.7,1.6,19.66,113050.3436,131035.0419,3335.745997,337500,582300,691200,437400,235800,45
45297,600.4314697,906.1,2.8,1.8,14.83,179167.9813,24945.22264,947.7169985,1699200,1438200,635400,171900,50400,7
42077,1585.514732,2710.3,2.9,1.8,16.24,189340.8196,49775.66548,849.0468811,0,726300,1006200,298800,86400,8
40000,878.2135112,1502.1,6.6,1.8,13.36,53395.2956,5605.065043,458.919413,86400,512100,216000,28800,12600,3
43683,1207.528115,1681.9,6.4,0,9.66,105166.8123,18885.61214,690.5957942,83700,502200,466200,50400,7200,0
34042,1808.380927,2558.4,7.5,0,31.75,48275.07256,201.9113656,229.6293907,0,277200,195300,5400,0,0
48304,1644.976332,1869.4,2.5,1.6,19.24,66333.26322,12503.67183,395.6582968,15300,513900,309600,48600,26100,17
22509,607.0127143,2546.3,6,1.2,36.71,8080.490458,22956.06465,3395.503447,0,35100,95400,127800,90000,36
