OBJECTID,STATEFP10,COUNTYFP10,MPOCE10,TADCE10,TAZCE10,GEOID10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,aggregationMethod,HasData,ORIGINAL_OID,sourceCountry,householdincome_avghinc_cy,householdtotals_tothh_cy,vehiclesavailable_acsaggveh,populationtotals_dpop_cy,populationtotals_dpopwrk_cy,populationtotals_dpopres_cy,populationtotals_dpopdenscy,industry_unemprt_cy,vehiclesavailable_acsavgveh,Shape_Area_sqmi,Shape_Area_sqmi1,aggregationMethod_1,HasData_1,ORIGINAL_OID_1,sourceCountry_1,atrisk_acshhbpov,atrisk_acshhbpov_p,aggregationMethod_12,HasData_12,ORIGINAL_OID_12,sourceCountry_12,populationtotals_totpop_cy,total_population_density,aggregationMethod_12_13,HasData_12_13,ORIGINAL_OID_12_13,sourceCountry_12_13,householdincome_medhinc_cy,householdincome_medhinc_cy_i,Shape_Length,Shape_Area
41,47,065,47197703,00000050,00001500,4706500001500,G6320,S,753395,0,+35.0491213,-085.1851760,,,,,47078,32,40,1929,1898,31,6631.1,0,1.2,0.290886183,0.290886183,BlockApportionment:US.BlockGroups,1,41,US,4,12.5,BlockApportionment:US.BlockGroups,1,41,US,73,980728.772,BlockApportionment:US.BlockGroups,1,41,US,37752,62,0.036543741,7.44344E-05
42,47,065,47197703,00000050,00001480,4706500001480,G6320,S,1839722,0,+35.0360821,-085.1694628,,,,,145332,497,917,1558,1202,356,2193.4,0,2.1,0.710318214,0.710318214,BlockApportionment:US.BlockGroups,1,42,US,49,11.37,BlockApportionment:US.BlockGroups,1,42,US,976,5370492.118,BlockApportionment:US.BlockGroups,1,42,US,91345,151,0.063329943,0.000181734
43,47,065,47197703,00000050,00002000,4706500002000,G6320,S,2974581,0,+35.0575532,-085.1684916,,,,,75975,768,1300,1390,487,903,1210.3,2.3,1.7,1.148487708,1.148487708,BlockApportionment:US.BlockGroups,1,43,US,46,6.02,BlockApportionment:US.BlockGroups,1,43,US,1612,5484585.351,BlockApportionment:US.BlockGroups,1,43,US,55649,92,0.071939918,0.000293915
44,47,065,47197703,00000060,00002050,4706500002050,G6320,S,2468462,0,+35.0436600,-085.1385384,,,,,87950,1251,1494,1902,511,1391,1995.6,3.6,1.4,0.953075061,0.953075061,BlockApportionment:US.BlockGroups,1,44,US,162,15.52,BlockApportionment:US.BlockGroups,1,44,US,2610,10702643.6,BlockApportionment:US.BlockGroups,1,44,US,57829,96,0.060913032,0.000243865
45,47,065,47197703,00000050,00002030,4706500002030,G6320,S,640765,0,+35.0475349,-085.1539542,,,,,48115,403,368,1610,1223,387,6507.7,1,1.1,0.247399344,0.247399344,BlockApportionment:US.BlockGroups,1,45,US,37,11.38,BlockApportionment:US.BlockGroups,1,45,US,790,12479178.05,BlockApportionment:US.BlockGroups,1,45,US,40463,67,0.039486077,6.33055E-05
46,47,065,47197703,00000050,00002020,4706500002020,G6320,S,875847,0,+35.0506654,-085.1592425,,,,,48115,582,343,1471,899,572,4349.5,1,1.1,0.338165297,0.338165297,BlockApportionment:US.BlockGroups,1,46,US,34,11.22,BlockApportionment:US.BlockGroups,1,46,US,1165,13462880,BlockApportionment:US.BlockGroups,1,46,US,40341,67,0.041666684,8.65342E-05
47,47,065,47197703,00000060,00002190,4706500002190,G6320,S,3377616,0,+35.0347576,-085.1196137,,,,,104006,822,1774,1483,350,1133,1137.2,1.9,2.1,1.304099383,1.304099383,BlockApportionment:US.BlockGroups,1,47,US,49,5.9,BlockApportionment:US.BlockGroups,1,47,US,2376,7121309.732,BlockApportionment:US.BlockGroups,1,47,US,79400,131,0.07637225,0.000333646
48,47,065,47197703,00000070,00002060,4706500002060,G6320,S,861654,0,+35.0535298,-085.1317067,,,,,121132,49,73,1535,1113,422,4613.8,1.8,1.7,0.332684871,0.332684871,BlockApportionment:US.BlockGroups,1,48,US,0,0,BlockApportionment:US.BlockGroups,1,48,US,1474,17313726.81,BlockApportionment:US.BlockGroups,1,48,US,71980,119,0.044772946,8.51348E-05
49,47,065,47197703,00000050,00001580,4706500001580,G6320,S,1576302,0,+35.0973998,-085.1805366,,,,,48757,558,802,1121,563,558,1841.9,3.8,1.4,0.608611291,0.608611291,BlockApportionment:US.BlockGroups,1,49,US,39,6.94,BlockApportionment:US.BlockGroups,1,49,US,1085,6962842.388,BlockApportionment:US.BlockGroups,1,49,US,35000,58,0.068835798,0.000155827
50,47,065,47197703,00000110,00001940,4706500001940,G6320,S,10957347,2756009,+35.1593168,-085.1670552,,,,,133319,950,2153,1534,231,1303,289.7,3.9,2.1,5.294734756,5.294734756,BlockApportionment:US.BlockGroups,1,50,US,60,5.96,BlockApportionment:US.BlockGroups,1,50,US,2578,1900273.495,BlockApportionment:US.BlockGroups,1,50,US,102836,170,0.174323568,0.001356647
