Household_Density,Daytime_Pop_Density,Percent_Unemployed,Average_Number_Vehicles,Percent_Poverty,Total_Population_density,Median_Household_Income,Undeveloped_Space_per_sqmi,Developed_Open_Spaced_sqmi,Developed_Low_Intensity_sqmi,Developed_Medium_Intensity_sqmi,Developed_High_Intensity_sqmi,Net_Passengers
1054.175314,4403.5,13.3,1.4,37.89,11906058.03,28926,0.00034749,0.0069498,0.10667943,0.08305011,0.03335904,90
1002.690876,4411.1,4.4,1.5,30.87,15048945.65,29307,0.00382239,0.04795362,0.20779902,0.12822381,0.1146717,75
928.0853778,1835,1.1,1.6,5.81,8603196.801,46533,0.09277983,0.34123518,0.19563687,0.05455593,0.02362932,3
817.6560544,1239.8,7.4,2.2,8.85,6988268.461,53409,0.2189187,0.36034713,0.24949782,0.08235513,0.02988414,9
239.2949902,558.9,2,0,5.45,2472017.895,174931,1.00494108,0.43957485,0.20675655,0.06915051,0.00833976,18
57.4516515,109.5,0,1.7,0,487245.053,108967,6.38304381,0.6428565,0.37945908,0.14976819,0.03370653,0
280.0276664,399.8,3.2,2.7,2.09,2894550.958,115761,2.35181232,0.53791452,0.27764451,0.00833976,0.00555984,0
292.0242231,3048.1,2.7,1.4,4.7,2209228.106,50742,0.41420808,0.20536659,0.173745,0.22274109,0.25193025,75
2063.044132,6515.1,10.1,1.4,15.6,19064030.47,28081,0,0.03613896,0.11015433,0.05768334,0.03683394,59
238.388285,348.1,3.1,1.5,4.45,2126907.067,55979,1.24540416,0.23351328,0.15220062,0.0382239,0.00868725,0
871.7987288,670.3,2.4,1.9,2.99,6231329.016,102516,0.83154357,0.22969089,0.16575273,0.05594589,0.02328183,0
1300.821639,1579.2,3.7,1.7,23.65,12880138.5,50583,0.00660231,0.44200728,0.23247081,0.00903474,0,0
1663.191383,5185.4,16.4,1.3,47.19,22102521.54,27250,0,0.01911195,0.10841688,0.04343625,0.00660231,3
1771.383222,4723.1,10.8,1.2,35.84,23509773.81,22832,0,0.00416988,0.1007721,0.0903474,0.02189187,58
0,1765.1,0,0,0,0,0,0.49100337,0.19216197,0.24220053,0.25332021,0.16992261,9
0,1121.7,0,0,0,0,0,0.55320408,0.16610022,0.18625464,0.14281839,0.08826246,17
471.6778255,724,5.3,1.6,28.33,4296870.36,35785,0.73494135,0.41038569,0.16644771,0.03752892,0.01216215,10
214.492603,3618,6.6,1.5,7.06,1904061.474,38579,0.00868725,0.07540533,0.23525073,0.28389933,0.1320462,18
135.7797838,2059.6,6.7,1.4,28.57,2491424.3,35000,0,0.16019289,0.04447872,0.03266406,0.02814669,22
1941.172455,3966,14.7,1,30.18,18796747.52,26544,0,0.04030884,0.14872572,0.09938214,0.01181466,16
1060.008599,1608.5,10.1,1.7,17,10526158.73,55850,0.0277992,0.31065606,0.16783767,0.0034749,0,0
956.2326487,3494.6,4.5,0,16.07,8312158.763,53933,0.02293434,0.38675637,0.33984522,0.09104238,0.04691115,31
431.2359359,448.4,1.4,1.3,18.63,3201320.511,35758,1.83405222,0.34297263,0.12787632,0.02154438,0.00138996,0
448.8520868,770,8.8,1.6,18.34,3818761.32,41005,0.55042416,0.33150546,0.20189169,0.04621617,0.01563705,0
1281.054753,1586.1,0,1.7,9.94,10346099.18,45822,0.0138996,0.25888005,0.13100373,0.02467179,0.00416988,0
1442.734494,1613.5,1.1,1.7,4.6,10803735.87,45101,0.07088796,0.11154429,0.08930493,0.02988414,0.00104247,0
125.6139555,174.2,5.8,1.8,9.63,1314523.819,54727,3.34876113,0.36903438,0.20953647,0.01667952,0.00069498,0
2159.295388,1985.9,1.2,1.7,11.37,17279444.95,66021,0.0138996,0.33949773,0.22343607,0.04552119,0.00173745,5
1018.60187,1218.2,6.2,1.9,21.57,8506868.156,49739,0.18312723,0.62270208,0.18277974,0.03057912,0.0034749,14
939.4466309,1390.1,5.7,1.4,18.55,7962447.262,33115,0.17895735,0.53930448,0.21683376,0.06880302,0.02397681,0
1143.215079,1695,0.7,1.6,12.62,9561340.879,34180,0.16957512,0.51949755,0.27416961,0.07227792,0.02362932,0
665.4606608,654.7,2.1,1.6,36.01,5204223.969,42875,0.32872554,0.23420826,0.12718134,0.04308876,0.00660231,0
582.8753845,874,1.7,2.3,5.75,5978684.614,126335,0.57440097,0.72764406,0.08131266,0.01285713,0.00104247,0
748.749844,1402.5,4.2,1.6,2.99,6230268.393,83840,0.61609977,0.50316552,0.10563696,0.02675673,0.00138996,0
75.57777684,263.8,6.2,1.7,23.17,791244.3687,46973,2.63814408,0.30127383,0.2258685,0.14386086,0.08756748,0
163.6847831,332.9,0.7,2.5,0,1822187.341,118623,1.87436106,0.54069444,0.21509631,0.05420844,0.0138996,0
253.822786,473.4,1.4,0,0,2861710.669,103533,2.0779902,0.77768262,0.4100382,0.18104229,0.02050191,0
125.0909303,116.6,1,0,2.88,1364493.91,93002,1.83578967,0.32003829,0.08444007,0.00590733,0.00104247,0
219.2929444,400.9,5.8,1.9,5.6,2169244.499,76940,3.04019001,0.6776055,0.34332012,0.07193043,0.02675673,0
229.648259,244.3,1.4,0,0.84,2255905.464,79679,1.57690962,0.7401537,0.17166006,0.0312741,0.00069498,0
519.2255392,600.3,0,1.4,17.43,4635866.752,37447,0.71548191,0.4795362,0.25818507,0.03335904,0.00938223,0
278.3934216,652.7,9,0,7.54,2986427.777,54702,1.54806795,0.33289542,0.24776037,0.07853274,0.01945944,0
59.22347222,833.6,2.3,0,27.94,545120.8677,32398,0.38606139,0.28355184,0.37077183,0.29571399,0.23247081,39
984.2719766,4979.9,1,1.4,15.03,9684184.77,44748,0.11779911,0.13447863,0.14455584,0.06185322,0.04030884,33
1494.020493,1956.1,5.2,1.5,16.03,13049520.42,34219,0.07575282,0.31378347,0.18625464,0.02675673,0.01633203,6
1358.402635,2231,2.1,0,0,12153465.89,63126,0.00069498,0.0868725,0.23698818,0.05281848,0.00938223,18
1991.494087,3076.1,5.4,1.4,18.68,18576391.17,37237,0,0.06428565,0.14629329,0.05038605,0.01911195,5
1188.284915,2283.9,4.7,1.5,19.02,10082891.83,41089,0.00764478,0.18729711,0.05837832,0.01563705,0.01216215,35
1414.762573,1883.4,0.4,0,4.09,13734273.08,45861,0.03196908,0.26687232,0.15046317,0.00555984,0.00104247,20
1169.108102,3416.5,1.6,1.5,15.34,8038191.461,41731,0.04969107,0.27729702,0.18799209,0.11258676,0.04135131,17
750.6889195,3984.3,3,1.5,19.91,8254542.174,35676,0.00034749,0.08409258,0.18382221,0.13517361,0.08200764,53
1374.376096,4432.1,1.7,1.6,19.66,11118344.92,37868,0.13030875,0.22482603,0.26687232,0.16888014,0.09104238,45
600.4314697,906.1,2.8,1.8,14.83,5514152.494,45297,0.65606112,0.55528902,0.24532794,0.06637059,0.01945944,7
1585.514732,2710.3,2.9,1.8,16.24,13834262.97,42077,0,0.28042443,0.38849382,0.11536668,0.03335904,8
878.2135112,1502.1,6.6,1.8,13.36,9184370.98,40000,0.03335904,0.19772181,0.0833976,0.01111968,0.00486486,3
1207.528115,1681.9,6.4,0,9.66,11959436.98,43683,0.03231657,0.19389942,0.17999982,0.01945944,0.00277992,0
