2019 Unemployed Population 16+: Percent,2014-2018 ACS Average Number of Vehicles,2014-2018 ACS HHs: Inc Below Poverty Level: Percent,2019 Median Household Income,Household_Density,Day_Pop_Density,Undeveloped_Sq_Meters,Developed_Open_Space_Sq_Meters,Developed_Low_Intensity_Sq_Meters,Developed_Medium_Intensity_Sq_Meters,Developed_High_Intensity_Sq_Meters,Square_Meters_Residential,Square_Meters_Com_Ind_MU,Square_Meters_Other,PrimaryLengthMeters,SecondaryLengthMeters,TertiaryLengthMeters,WalkingLengthMeters,Pri_LengthMetersHalf,Ridership
0,0,0,0,0,0,,,30,990,,,,,141.3670744,107.7125418,,,141.3670744,464
0,0,0,0,0,5573.695105,150,1890,8430,14430,660,,1397.628247,,516.5382849,,,,516.5382849,469
0,0,0,0,0,0,,,2730,,,154.7796508,,,,,,,,465
0,0,0,0,0,0,900,9000,17970,14970,13800,,14445.92128,,,,,762.2049111,,464
0,0,0,0,0,31.16593399,38010,10410,15660,18120,900,,3948.068892,,,,,853.5433959,,469
0,0,0,0,0,0,,,,2100,,,,,175.5859268,,102.9388564,316.6564058,175.5859268,464
0,0,0,0,0,1854.615207,,,,5580,,684.0967233,,,198.3956479,,322.4087579,195.8943158,198.3956479,464
0,0,0,0,0,0,,120,9630,1110,,,,,1089.706365,,104.9773255,,1089.706365,464
0,0,0,0,0,0,,,180,1380,5940,,3805.008295,,126.8522142,,311.790887,,126.8522142,464
0,0,0,0,0,0,,,120,1800,3540,,2617.10528,,101.50703,,270.9619795,,101.50703,464
0,0,0,0,0,188.418355,,2550,1980,3030,6210,,1266.877074,,120.1889649,,580.3228304,,120.1889649,464
0,0,0,0,0,4724.62086,,,,3450,6420,,1896.911517,,124.4304842,,381.0003054,,124.4304842,462
0,0,0,0,0,4068.122238,5040,,30,2220,8070,,6064.363097,,,,696.854598,,,464
0,0,0,0,0,0,,,30,6300,12210,,8188.192016,,,,615.1683616,,,464
0,0,0,0,0,0,,,4110,6570,,,,,1207.525701,,103.9064544,,1207.525701,464
0,0,0,0,0,0,,990,,,,,,,188.7087273,,221.3014011,,188.7087273,464
0,0,0,0,0,0,,2670,18720,10710,570,,,,595.4288555,850.6637387,32.96135677,,595.4288555,464
0,0,0,0,0,0,,,11970,2910,,,,,1401.512253,,,,1401.512253,464
0,0,0,0,0,0,,,660,1140,,,,,1036.31781,,,,1036.31781,464
0,0,0,0,0,0,,,,150,660,,,,89.54411478,74.78212434,17.40385365,,89.54411478,464
