No,TAZCE10,2019 Average Household Income,2019 Total Households,ACS Aggregate Number of Vehicles,2019 Total Daytime Population,2019 Daytime Pop: Workers,2019 Daytime Pop: Residents,2019 Daytime Pop Density,2019 Unemployment Rate,ACS Average Number of Vehicles,Shape_Area_sqmi,ACS HHs: Inc Below Poverty Level,ACS HHs: Inc Below Poverty Level: Percent,2019 Total Population,total_population_density,2019 Median Household Income,2019 Median Household Income: Index,SUM_PASSENGERS_ON,SUM_PASSENGERS_OFF,Net_Passengers
85,3040,82292,409,746,643,183,460,1058.8,2.8,2,0.607343302,120,31.75,1010,6495640.843,53737,89,26,23,3
86,1550,68180,317,822,1900,1563,337,4120.6,1.8,2.2,0.461142724,14,3.68,777,6582193.711,55356,91,6,4,2
87,2550,109887,794,574,1598,163,1435,916,2.5,1.4,1.744632288,47,11.16,2239,5014876.011,76092,126,0,0,0
88,880,57917,445,619,490,18,472,723.6,1,1.7,0.677181002,47,12.77,983,5676667.643,47351,78,5,22,17
89,890,55196,841,1010,1153,203,950,1167.7,4.2,1.8,0.987412293,92,16,1942,7690898.118,39744,66,334,209,125
90,860,144322,1443,2550,6817,5054,1763,756.6,2.1,1.9,9.010595095,147,11.19,3422,1484956.824,75162,124,0,0,0
91,950,33115,171,200,1715,1440,275,2101.2,15.5,1.4,0.816169844,51,35.17,468,2242355.981,25847,43,219,219,0
92,910,25675,507,525,1325,516,809,3643.1,13.8,1.1,0.363653795,229,45.8,1235,13277971.03,17023,28,521,271,250
93,930,28382,201,184,424,105,319,709.6,21.4,0.9,0.597520831,93,47.69,506,3311064.088,18480,31,190,45,145
94,940,29311,571,425,1433,301,1132,1563,19.9,1.1,0.916760278,200,50.76,1481,6317691.214,15291,25,550,317,233
95,1020,55354,519,657,1107,248,859,2826.9,9.9,1.4,0.391643857,159,34.57,1449,14466342.9,27947,46,149,123,26
96,1050,75261,290,402,365,22,343,1279.8,1.5,1.7,0.285233624,22,9.4,726,9952327.052,41474,68,0,0,0
97,380,65522,2,6,873,870,3,4145.3,0,2,0.210550465,0,0,7,129911.0768,0,0,0,0,0
98,730,89553,1370,1179,2929,1567,1362,2296.7,5.8,1.6,1.275278447,55,7.38,2920,8942194.68,46586,77,0,0,0
99,1000,35836,304,524,1037,405,632,4156.3,10.8,1.4,0.249492145,145,39.73,974,15266186.97,28043,46,102,155,53
100,1010,44546,584,940,1207,171,1036,3239.4,6.2,1.6,0.37259728,193,33.28,1741,18273052.47,30569,50,157,184,27
101,1040,53716,810,1396,980,46,934,1410.1,3.8,1.7,0.694991034,189,23.54,1845,10381537.71,50910,84,0,0,0
102,820,115886,623,1707,749,90,659,102.5,1.4,2.3,7.309762939,14,1.9,1536,820891.9394,63643,105,0,0,0
103,840,122176,271,474,360,82,278,113.1,0,1.5,3.181926006,58,18.71,661,811947.3341,69428,115,0,0,0
104,830,78818,620,970,1023,187,836,752.4,2.5,2,1.359631095,91,19.08,1460,4197177.595,58739,97,0,0,0
105,900,28248,286,273,770,271,499,2858.2,20.3,1,0.269420331,133,47.84,748,10855769.63,17791,29,181,43,138
106,960,33144,386,457,1374,773,601,1511.7,15.7,1.4,0.908913057,117,35.24,1020,4387562.827,25728,42,0,3,3
107,360,80646,224,215,574,411,163,2629.4,1.6,1.7,0.218304449,21,16.41,520,9310880.521,57201,94,16,50,34
108,430,48221,3,4,1054,1030,24,3025.3,4.3,2,0.348387794,1,50,49,549799.3456,30000,50,132,161,29
109,140,13348,1799,0,3002,748,2254,12995.7,17,0,0.230962351,899,61.83,2950,49917885.43,10253,17,435,606,171
110,1410,46014,761,1423,2791,1898,893,3508,0.8,1.7,0.795615109,194,22.53,1881,9244827.572,37389,62,0,0,0
111,1430,43632,546,698,1710,1132,578,2924.6,0,1.1,0.584688889,135,22.09,1033,6908804.346,32316,53,0,0,0
112,1440,65608,1268,2136,2463,1077,1386,922.8,1.8,1.9,2.668988229,116,10.31,2898,4245894.526,42712,71,0,0,0
113,590,30416,372,0,1921,1227,694,2459,18.8,0,0.781224154,131,30.97,926,4631469.245,19065,31,197,275,78
114,510,32991,781,854,1445,237,1208,3395.2,15.6,1.1,0.425555172,257,32.12,1895,17401923.21,24918,41,252,346,94
115,150,68798,1,0,841,840,1,9449.4,0,0,0.08895274,0,0,1,43936.58022,0,0,630,947,317
116,200,80645,242,382,608,483,125,7246.7,1.7,1.7,0.083913535,37,16.3,409,19050928.73,57044,94,108,178,70
117,190,0,0,0,284,284,0,2392.6,0,0,0.118714513,0,0,0,0,0,0,26,73,47
118,220,80647,10,20,103,94,9,1627.2,0,1.7,0.063293421,2,16.67,28,1729189.524,60675,100,41,63,22
119,100,68798,6,7,432,427,5,6008.3,0,0.9,0.071904636,2,25,8,434752.4107,29226,48,1105,1075,30
120,80,68798,1,0,944,943,1,44319.2,0,0,0.021268019,0,0,1,183738.1404,0,0,1724,1969,245
121,50,68798,4,3,2013,2009,4,92765,0,0.8,0.02165067,1,25,6,1082977.919,7500,12,3326,2475,851
122,20,68794,118,0,1999,1902,97,60759.9,4.2,0,0.032899595,0,0,166,19718512.04,33199,55,4809,4016,793
123,160,0,0,0,4502,4497,5,116330.7,0,0,0.038654183,0,0,9,909961.4349,0,0,2967,3068,101
124,240,61813,103,112,1661,1485,176,29555.2,6.1,1.2,0.05624732,31,31.96,296,20566293.59,27785,46,258,303,45
125,170,68610,268,259,3506,3293,213,47765.7,4.4,0.9,0.073449467,90,30.93,360,19155489.05,33036,55,2884,2686,198
126,180,68794,79,97,1335,1267,68,15433.5,3.9,0.9,0.086546348,34,31.19,117,5283698.085,32502,54,2328,2327,1
127,670,104196,1196,1809,1477,832,645,2415.8,2.5,1.7,0.611358444,85,8.03,2442,15606248.72,63837,105,326,249,77
