No,TAZCE10,2019 Average Household Income,2019 Total Households,ACS Aggregate Number of Vehicles,2019 Total Daytime Population,2019 Daytime Pop: Workers,2019 Daytime Pop: Residents,2019 Daytime Pop Density,2019 Unemployment Rate,ACS Average Number of Vehicles,Shape_Area_sqmi,ACS HHs: Inc Below Poverty Level,ACS HHs: Inc Below Poverty Level: Percent,2019 Total Population,total_population_density,2019 Median Household Income,2019 Median Household Income: Index,Undeveloped_Land_Cell,Developed_land_Cell,Undeveloped_Area_sqmi,Developed_Area_sqmi,Undev_by_total_per_sqmi,Dev_by_total_per_sqmi,SUM_PASSENGERS_ON,SUM_PASSENGERS_OFF,Net_Passengers
79,1890,52355,345,464,1921,1562,359,4943.4,4.8,1.6,0.388569726,58,20.42,688,6911957.607,36776,61,5,1115,0.00173745,0.38745135,0.004471398268,0.9971218139,149,129,20
80,1490,46968,1075,1349,1954,1070,884,2268.1,0.5,1.3,0.861538692,137,12.97,2068,9381189.299,37652,62,460,2020,0.1598454,0.7019298,0.1855347897,0.8147397285,292,270,22
81,2070,80621,58,81,6600,6537,63,12504.7,3.8,1.8,0.527828447,2,4.35,137,1014499.904,57161,94,0,1519,0,0.52783731,0,1.000016791,643,489,154
82,2140,101185,1421,0,2409,623,1786,1599.3,0.7,0,1.506251215,83,6.89,3756,9751349.917,71516,118,1453,2875,0.50490297,0.99903375,0.3352050209,0.6632583862,0,0,0
83,2040,87949,23,16,517,490,27,2444.4,4,1.5,0.211458534,2,18.18,50,924080.0193,50000,83,77,535,0.02675673,0.18590715,0.1265341696,0.8791659834,0,0,0
84,2010,58583,838,1319,2516,1760,756,1669.1,1.2,1.8,1.507404295,25,3.34,1874,4857683.72,53335,88,660,3703,0.2293434,1.28675547,0.1521445844,0.8536233274,0,7,7
85,3040,82292,409,746,643,183,460,1058.8,2.8,2,0.607343302,120,31.75,1010,6495640.843,53737,89,358,1392,0.12440142,0.48370608,0.2048288334,0.7964294303,26,23,3
86,1550,68180,317,822,1900,1563,337,4120.6,1.8,2.2,0.461142724,14,3.68,777,6582193.711,55356,91,95,1233,0.03301155,0.42845517,0.07158640543,0.9291161883,6,4,2
87,2550,109887,794,574,1598,163,1435,916,2.5,1.4,1.744632288,47,11.16,2239,5014876.011,76092,126,2995,2038,1.04073255,0.70818462,0.5965340417,0.4059219956,0,0,0
88,880,57917,445,619,490,18,472,723.6,1,1.7,0.677181002,47,12.77,983,5676667.643,47351,78,1161,788,0.40343589,0.27382212,0.5957578385,0.40435588,5,22,17
89,890,55196,841,1010,1153,203,950,1167.7,4.2,1.8,0.987412293,92,16,1942,7690898.118,39744,66,895,1949,0.31100355,0.67725801,0.3149682784,0.6858918152,334,209,125
90,860,144322,1443,2550,6817,5054,1763,756.6,2.1,1.9,9.010595095,147,11.19,3422,1484956.824,75162,124,16241,9677,5.64358509,3.36266073,0.6263276765,0.3731896389,0,0,0
91,950,33115,171,200,1715,1440,275,2101.2,15.5,1.4,0.816169844,51,35.17,468,2242355.981,25847,43,330,2021,0.1146717,0.70227729,0.1404998002,0.8604548369,219,219,0
92,910,25675,507,525,1325,516,809,3643.1,13.8,1.1,0.363653795,229,45.8,1235,13277971.03,17023,28,57,982,0.01980693,0.34123518,0.05446644658,0.9383517639,521,271,250
93,930,28382,201,184,424,105,319,709.6,21.4,0.9,0.597520831,93,47.69,506,3311064.088,18480,31,550,1159,0.1911195,0.40274091,0.3198541207,0.6740198653,190,45,145
94,940,29311,571,425,1433,301,1132,1563,19.9,1.1,0.916760278,200,50.76,1481,6317691.214,15291,25,1106,1532,0.38432394,0.53235468,0.4192196687,0.580691259,550,317,233
95,1020,55354,519,657,1107,248,859,2826.9,9.9,1.4,0.391643857,159,34.57,1449,14466342.9,27947,46,64,1061,0.02223936,0.36868689,0.05678465167,0.9413830535,149,123,26
96,1050,75261,290,402,365,22,343,1279.8,1.5,1.7,0.285233624,22,9.4,726,9952327.052,41474,68,131,693,0.04552119,0.24081057,0.1595926503,0.8442573026,0,0,0
97,380,65522,2,6,873,870,3,4145.3,0,2,0.210550465,0,0,7,129911.0768,0,0,83,524,0.02884167,0.18208476,0.1369822194,0.8648034095,0,0,0
98,730,89553,1370,1179,2929,1567,1362,2296.7,5.8,1.6,1.275278447,55,7.38,2920,8942194.68,46586,77,1573,2093,0.54660177,0.72729657,0.4286136657,0.5703041337,0,0,0
99,1000,35836,304,524,1037,405,632,4156.3,10.8,1.4,0.249492145,145,39.73,974,15266186.97,28043,46,0,720,0,0.2501928,0,1.002808325,102,155,53
100,1010,44546,584,940,1207,171,1036,3239.4,6.2,1.6,0.37259728,193,33.28,1741,18273052.47,30569,50,50,1023,0.0173745,0.35548227,0.04663077519,0.9540656604,157,184,27
101,1040,53716,810,1396,980,46,934,1410.1,3.8,1.7,0.694991034,189,23.54,1845,10381537.71,50910,84,351,1647,0.12196899,0.57231603,0.1754972137,0.8234869257,0,0,0
102,820,115886,623,1707,749,90,659,102.5,1.4,2.3,7.309762939,14,1.9,1536,820891.9394,63643,105,18453,2588,6.41223297,0.89930412,0.8772149006,0.1230278092,0,0,0
103,840,122176,271,474,360,82,278,113.1,0,1.5,3.181926006,58,18.71,661,811947.3341,69428,115,7706,1448,2.67775794,0.50316552,0.8415525487,0.1581323761,0,0,0
104,830,78818,620,970,1023,187,836,752.4,2.5,2,1.359631095,91,19.08,1460,4197177.595,58739,97,1546,2373,0.53721954,0.82459377,0.3951215458,0.6064834594,0,0,0
105,900,28248,286,273,770,271,499,2858.2,20.3,1,0.269420331,133,47.84,748,10855769.63,17791,29,0,778,0,0.27034722,0,1.003440308,181,43,138
106,960,33144,386,457,1374,773,601,1511.7,15.7,1.4,0.908913057,117,35.24,1020,4387562.827,25728,42,733,1888,0.25471017,0.65606112,0.2802360116,0.7218084447,0,3,3
